Rxn.name	Gene.reaction.association
HMR_4495	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4496	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4518	ENSG00000119125
HMR_4519	ENSG00000158125
HMR_4520	ENSG00000158125
HMR_4573	ENSG00000067225 or ENSG00000143627
HMR_4574	ENSG00000198805
HMR_4600	ENSG00000114956
HMR_4602	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4603	ENSG00000025708 or ENSG00000198805
HMR_4611	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4612	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4614	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4615	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4617	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4618	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4619	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4621	(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)
HMR_4632	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4646	ENSG00000158125
HMR_4648	ENSG00000158125
HMR_4649	ENSG00000158125
HMR_4650	ENSG00000158125
HMR_4651	ENSG00000198805
HMR_4663	ENSG00000198805
HMR_4664	ENSG00000165704
HMR_4694	ENSG00000093072 or ENSG00000196839
HMR_4695	ENSG00000025708 or ENSG00000198805
HMR_4705	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4709	ENSG00000025708 or ENSG00000198805
HMR_4799	ENSG00000159131
HMR_4802	ENSG00000159131
HMR_4804	ENSG00000128050
HMR_4808	ENSG00000178921
HMR_4810	ENSG00000128050
HMR_4812	ENSG00000100354 or ENSG00000239900
HMR_4814	ENSG00000138363
HMR_5301	ENSG00000130717 or ENSG00000143179 or ENSG00000198276
HMR_5353	ENSG00000143774
HMR_6601	ENSG00000151360
HMR_6602	ENSG00000117592 or ENSG00000121053 or ENSG00000130508 or ENSG00000147485 or ENSG00000167419
HMR_6603	ENSG00000117592 or ENSG00000121053 or ENSG00000130508 or ENSG00000147485 or ENSG00000167419
HMR_6605	
HMR_6606	
HMR_6607	
HMR_6609	
HMR_6610	
HMR_6611	
HMR_7144	ENSG00000142185 or ENSG00000165609 or ENSG00000170222 or ENSG00000170502
HMR_8755	ENSG00000158125
HMR_9797	
HMR_4016	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4018	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4044	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4291	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4420	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4570	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4572	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4006	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4028	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4030	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4670	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4673	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4675	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_6614	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_6615	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_6616	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_4635	ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678
HMR_3793	ENSG00000113492
HMR_3931	ENSG00000184470 or ENSG00000197763 or ENSG00000198431
HMR_3969	ENSG00000130717 or ENSG00000143179
HMR_3970	ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4008	ENSG00000162368
HMR_4032	ENSG00000047230 or ENSG00000171793
HMR_4034	ENSG00000084774
HMR_4036	ENSG00000114491
HMR_4050	ENSG00000084774
HMR_4056	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4059	ENSG00000054179 or ENSG00000138185 or ENSG00000168032 or ENSG00000171302 or ENSG00000187097 or ENSG00000188833 or ENSG00000197217 or ENSG00000197586
